,full_text,emotion,keyword
0,직장인,슬픔,울상
1,체스,놀람,기절하다
2,토너먼트 레전드,행복,감흥
3,인기 교류,행복,감흥
4,시기 무리,중립,덤덤하다
5,적수 공포,공포,안절부절하다
6,광기 살육,분노,괘씸하다
7,틈새시장,중립,덤덤하다
8,레전드 욕구,중립,덤덤하다
9,업무,공포,안절부절하다
10,워치 리듬,행복,감흥
11,대회 생방송,행복,감흥
12,게이머,행복,감흥
13,워크래프트 철권,중립,덤덤하다
14,시뮬레이션,중립,덤덤하다
15,경기 재훈,행복,감흥
16,게임 레인보우,행복,감흥
17,스포츠선수,중립,덤덤하다
18,시즌 경험,중립,덤덤하다
19,스포츠,중립,덤덤하다
20,컨트롤 인기,중립,덤덤하다
21,이스포츠,분노,괘씸하다
22,컴퓨터,놀람,기절하다
23,오늘 게임,행복,감흥
24,메인 게임,중립,덤덤하다
25,공포 축구,공포,안절부절하다
26,스포츠 페스티벌,행복,감흥
27,경기,중립,덤덤하다
28,최대 경기,행복,감흥
29,체스 리그,중립,덤덤하다
30,레전드 스포츠선수,행복,감흥
31,재미 사회생활,중립,덤덤하다
32,스포츠 종목,중립,덤덤하다
33,온라인 자택,놀람,기절하다
34,리듬 게임,중립,덤덤하다
35,해설 컴퓨터,중립,덤덤하다
36,성인 남성,놀람,기절하다
37,이스포츠 영향,중립,덤덤하다
38,다른 게임,중립,덤덤하다
39,경기 시간,중립,덤덤하다
40,틈새시장 나름,중립,덤덤하다
41,프로 경기,중립,덤덤하다
42,인수 라이엇게임즈,중립,덤덤하다
43,선수단 운영,중립,덤덤하다
44,무리 남자,중립,덤덤하다
45,비디오 게임,중립,덤덤하다
46,레전드 경기,행복,감흥
47,경기 스포츠,중립,덤덤하다
48,롤토 체스,행복,감흥
49,전반 이스포츠,중립,덤덤하다
50,진행 게임,중립,덤덤하다
51,로란 워크래프트,중립,덤덤하다
52,게임 리그,중립,덤덤하다
53,이스포츠 종주국,중립,덤덤하다
54,하필 스포츠,분노,괘씸하다
55,전략 게임,중립,덤덤하다
56,라이엇게임즈,중립,덤덤하다
57,게임 개발,중립,덤덤하다
58,게임 배틀,중립,덤덤하다
59,합성어 게임,중립,덤덤하다
60,매니아 입문,중립,덤덤하다
61,게임 주말,행복,감흥
62,스포츠선수 소리,분노,괘씸하다
63,워크래프트,중립,덤덤하다
64,게임 가능,놀람,기절하다
65,온라인 배틀,중립,덤덤하다
66,출현 게임,놀람,기절하다
67,헛소리 게임,혐오,못미덥다
68,라이엇 게임,중립,덤덤하다
69,시뮬레이션 게임,중립,덤덤하다
70,지식 플레이,중립,덤덤하다
71,국산 게임,중립,덤덤하다
72,레전드 게임,중립,덤덤하다
73,게임,놀람,기절하다
74,프로게임단 협업,중립,덤덤하다
75,프로게임단 프로게임단,중립,덤덤하다
76,서브 게임,중립,덤덤하다
77,프로게임단,중립,덤덤하다
78,성공 게이머,중립,덤덤하다
79,게임 사가,중립,덤덤하다
80,게임 형식,중립,덤덤하다
81,생각 이스포츠,중립,덤덤하다
82,게임 에이펙,중립,덤덤하다
83,게임 서코,중립,덤덤하다
84,게임 월드,중립,덤덤하다
85,인기 게임,중립,덤덤하다
86,게임 사이,중립,덤덤하다
87,멀티플레이어 온라인,중립,덤덤하다
88,게임 해설,중립,덤덤하다
89,게임 대회,중립,덤덤하다
90,게임 위주,중립,덤덤하다
91,여러가지 게임,중립,덤덤하다
92,게임 시간대,중립,덤덤하다
93,게임 명의,중립,덤덤하다
94,운영 프로게임단,중립,덤덤하다
95,요즘 경기,행복,감흥
96,남성 게임,중립,덤덤하다
97,망겜 게임,혐오,못미덥다
98,게임 직장인,슬픔,울상
99,직장인 게임,중립,덤덤하다
