,Unnamed: 0,full_text,emotion
0,0,직장인,슬픔
1,1,체스,놀람
2,2,토너먼트 레전드,행복
3,3,인기 교류,행복
4,4,시기 무리,중립
5,5,적수 공포,공포
6,6,광기 살육,분노
7,7,틈새시장,중립
8,8,레전드 욕구,중립
9,9,업무,공포
10,10,워치 리듬,행복
11,11,대회 생방송,행복
12,12,게이머,행복
13,13,워크래프트 철권,중립
14,14,시뮬레이션,중립
15,15,경기 재훈,행복
16,16,게임 레인보우,행복
17,17,스포츠선수,중립
18,18,시즌 경험,중립
19,19,스포츠,중립
20,20,컨트롤 인기,중립
21,21,이스포츠,분노
22,22,컴퓨터,놀람
23,23,오늘 게임,행복
24,24,메인 게임,중립
25,25,공포 축구,공포
26,26,스포츠 페스티벌,행복
27,27,경기,중립
28,28,최대 경기,행복
29,29,체스 리그,중립
30,30,레전드 스포츠선수,행복
31,31,재미 사회생활,중립
32,32,스포츠 종목,중립
33,33,온라인 자택,놀람
34,34,리듬 게임,중립
35,35,해설 컴퓨터,중립
36,36,성인 남성,놀람
37,37,이스포츠 영향,중립
38,38,다른 게임,중립
39,39,경기 시간,중립
40,40,틈새시장 나름,중립
41,41,프로 경기,중립
42,42,인수 라이엇게임즈,중립
43,43,선수단 운영,중립
44,44,무리 남자,중립
45,45,비디오 게임,중립
46,46,레전드 경기,행복
47,47,경기 스포츠,중립
48,48,롤토 체스,행복
49,49,전반 이스포츠,중립
50,50,진행 게임,중립
51,51,로란 워크래프트,중립
52,52,게임 리그,중립
53,53,이스포츠 종주국,중립
54,54,하필 스포츠,분노
55,55,전략 게임,중립
56,56,라이엇게임즈,중립
57,57,게임 개발,중립
58,58,게임 배틀,중립
59,59,합성어 게임,중립
60,60,매니아 입문,중립
61,61,게임 주말,행복
62,62,스포츠선수 소리,분노
63,63,워크래프트,중립
64,64,게임 가능,놀람
65,65,온라인 배틀,중립
66,66,출현 게임,놀람
67,67,헛소리 게임,혐오
68,68,라이엇 게임,중립
69,69,시뮬레이션 게임,중립
70,70,지식 플레이,중립
71,71,국산 게임,중립
72,72,레전드 게임,중립
73,73,게임,놀람
74,74,프로게임단 협업,중립
75,75,프로게임단 프로게임단,중립
76,76,서브 게임,중립
77,77,프로게임단,중립
78,78,성공 게이머,중립
79,79,게임 사가,중립
80,80,게임 형식,중립
81,81,생각 이스포츠,중립
82,82,게임 에이펙,중립
83,83,게임 서코,중립
84,84,게임 월드,중립
85,85,인기 게임,중립
86,86,게임 사이,중립
87,87,멀티플레이어 온라인,중립
88,88,게임 해설,중립
89,89,게임 대회,중립
90,90,게임 위주,중립
91,91,여러가지 게임,중립
92,92,게임 시간대,중립
93,93,게임 명의,중립
94,94,운영 프로게임단,중립
95,95,요즘 경기,행복
96,96,남성 게임,중립
97,97,망겜 게임,혐오
98,98,게임 직장인,슬픔
99,99,직장인 게임,중립
